STATION_NAME,LAT,LON,Annual,0
ADELAIDE-KENT-TOWN,-34.92,138.62,23.1,216.00115384615384
ALBANY-AIRPORT-COMPARISON,-34.94,117.8,20.56,204.08487179487182
ALICE-SPRINGS-AIRPORT,-23.8,133.89,29.53,266.0256410256411
AMBERLEY-AMO,-27.63,152.71,27.95,219.59115384615384
BARCALDINE-POST-OFFICE,-23.55,145.29,31.62,256.9039743589743
BATHURST-AGRICULTURAL-STATION,-33.43,149.56,21,210.15679487179492
BIRDSVILLE-AIRPORT,-25.9,139.35,31.85,264.346282051282
BOULIA-AIRPORT,-22.91,139.9,33.26,271.0491025641026
BOURKE-AIRPORT-AWS,-30.04,145.95,28.7,240.50217948717938
BRIDGETOWN-COMPARISON,-33.96,116.14,23.33,217.25179487179483
BRISBANE-AERO,-27.39,153.12,26.07,215.48448717948725
BROOME-AIRPORT,-17.95,122.23,33.04,263.2
BUNDABERG-AERO,-24.91,152.32,27.45,230.59320512820517
BURKETOWN-AIRPORT,-17.75,139.54,34.07,248.6629487179487
BUTLERS-GORGE,-42.28,146.28,13.88,160.02961538461548
CABRAMURRA-SMHEA-AWS,-35.94,148.38,12.56,204.5866666666667
CAIRNS-AERO,-16.87,145.75,29.95,227.01217948717954
CAMOOWEAL-TOWNSHIP,-19.92,138.12,34.29,263.06576923076926
CANBERRA-AIRPORT,-35.31,149.2,21.32,199.95948717948724
CAPE-BORDA,-35.75,136.6,19.1,197.25051282051285
CAPE-BRUNY-LIGHTHOUSE,-43.49,147.15,15.91,160.00500000000005
CAPE-LEEUWIN,-34.37,115.14,20.35,203.24038461538467
CAPE-MORETON-LIGHTHOUSE,-27.03,153.47,24.65,215.48448717948725
CAPE-OTWAY-LIGHTHOUSE,-38.86,143.51,17.34,179.97923076923078
CARNARVON-AIRPORT,-24.89,113.67,28.14,266.3053846153845
CEDUNA-AMO,-32.13,133.7,24.68,222.31961538461533
CHARLEVILLE-AERO,-26.41,146.26,29.77,248.8498717948718
CHARTERS-TOWERS-AIRPORT,-20.05,146.27,31.04,252.9807692307692
COBAR-MO,-31.48,145.83,26.36,234.0566666666666
COFFS-HARBOUR-MO,-30.31,153.12,24.37,206.5312820512821
CUNDERDIN-AIRFIELD,-31.62,117.22,26.42,239.94205128205127
DALWALLINU-COMPARISON,-30.28,116.66,27.32,244.93717948717946
DARWIN-AIRPORT,-12.42,130.89,33.06,238.56987179487186
DENILIQUIN-AIRPORT-AWS,-35.56,144.95,24.05,217.4278205128206
DUBBO-AIRPORT-AWS,-32.22,148.58,25.05,225.25448717948706
EAST-SALE-AIRPORT,-38.12,147.13,20.68,185.64371794871795
ESPERANCE,-33.83,121.89,22.24,213.71282051282054
EUCLA,-31.68,128.88,23.49,225.51974358974354
FORREST,-30.85,128.11,26.48,233.7058974358974
GABO-ISLAND-LIGHTHOUSE,-37.57,149.92,19.11,180.68423076923068
GAYNDAH-AIRPORT,-25.62,151.62,29.35,227.89756410256413
GEORGETOWN-AIRPORT,-18.3,143.53,33.62,259.6933333333333
GERALDTON-AIRPORT-COMPARISON,-28.8,114.7,26.75,250.28230769230765
GILES-METEOROLOGICAL-OFFICE,-25.03,128.3,30.46,258.4346153846153
GROVE-RESEARCH-STATION,-42.99,147.07,18.24,171.52589743589746
GUNNEDAH-RESOURCE-CENTRE,-31.03,150.27,25.66,222.3760256410257
HALLS-CREEK-AIRPORT,-18.23,127.66,35.15,264.8110256410256
HOBART-ELLERSLIE-ROAD,-42.89,147.33,18.54,171.52589743589746
HORN-ISLAND,-10.58,142.29,30.98,216.56935897435898
INVERELL-RAGLAN-ST,-29.78,151.11,24.64,225.3560256410257
JERVIS-BAY-POINT-PERPENDICULAR-AWS,-35.09,150.8,21.06,189.42051282051278
KALGOORLIE-BOULDER-AIRPORT,-30.78,121.45,26.44,241.76628205128196
KALUMBURU,-14.3,126.65,35.15,253.63692307692304
KATANNING-COMPARISON,-33.69,117.56,23.21,222.14538461538461
KERANG,-35.72,143.92,23.98,217.55320512820515
KYANCUTTA,-33.13,135.56,26.17,219.5358974358975
LARAPUNA-EDDYSTONE-POINT,-40.99,148.35,18.4,180.59461538461534
LAUNCESTON-AIRPORT,-41.55,147.21,18.63,178.14512820512815
LAVERTON-RAAF,-37.86,144.76,20.82,189.6128205128205
LEARMONTH-AIRPORT,-22.24,114.1,32.53,270.81307692307695
LONGREACH-AERO,-23.44,144.28,32.97,259.08641025641026
LOW-HEAD,-41.06,146.79,17.16,175.65153846153848
MACKAY-M.O,-21.12,149.22,27.46,232.23512820512815
MARBLE-BAR,-21.18,119.75,36.27,269.565512820513
MARREE,-29.65,138.06,29.87,253.79653846153846
MEEKATHARRA-AIRPORT,-26.61,118.54,30.33,262.43551282051277
